,dataset_id,dataset_name,run_label,run_date,model_path,history_path,f1,roc_auc,accuracy,logloss,precision,inference_sec,fit_time_sec,task_type,model_str,automl_time_sec,automl_timeout_min,meta_learning_time_sec
0,179,adult,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:37,datasets\adult\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\72f95274-0c4b-4e09-9e42-050453fa7047.json,datasets\adult\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\72f95274-0c4b-4e09-9e42-050453fa7047.json,-0.839,-0.931,-0.839,0.329,-0.784,0.174018498044461,14434.342610416004,classification,"/n_lgbm_{'num_leaves': 33, 'colsample_bytree': 0.40174198851337545, 'subsample': 0.9419887738447973, 'subsample_freq': 10, 'learning_rate': 0.11148010581329006, 'n_estimators': 100, 'class_weight': 'balanced', 'reg_alpha': 0.0007973184394240295, 'reg_lambda': 0.011321630690165604}",14400,240,0
1,1169,airlines,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:43,datasets\airlines\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\6bf24fcb-95db-41c9-a748-fd6e255794dd.json,datasets\airlines\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\6bf24fcb-95db-41c9-a748-fd6e255794dd.json,-0.67,-0.723,-0.67,0.608,-0.667,2.1302567031234503,25276.34173402586,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'n_estimators': 100, 'criterion': 'gini', 'max_features': 0.5452712186504541, 'min_samples_split': 10, 'min_samples_leaf': 9, 'bootstrap': True}",14400,240,0
2,41147,albert,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:41,datasets\albert\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\c7105c27-a675-4223-b50b-0a53252e64f8.json,datasets\albert\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\c7105c27-a675-4223-b50b-0a53252e64f8.json,-0.667,-0.728,-0.667,0.615,-0.667,9.291338358074428,19071.568185557146,classification,"/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.06847609192461072, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
3,4135,amazon_employee_access,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:36,datasets\amazon_employee_access\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\23bd4689-be68-43ca-b032-85680b5b2e87.json,datasets\amazon_employee_access\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\23bd4689-be68-43ca-b032-85680b5b2e87.json,-0.948,-0.87,-0.948,0.186,-0.797,0.0859665758907795,14489.133214134725,classification,"/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.5498858626587763, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
4,41138,apsfailure,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:43,datasets\apsfailure\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\b5f82ba8-57d1-4771-b55f-d65111cfad7d.json,datasets\apsfailure\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\b5f82ba8-57d1-4771-b55f-d65111cfad7d.json,-0.99,-0.991,-0.99,0.025,-0.827,0.8646373569499701,14545.561196985887,classification,"(/n_scaling;)/n_lgbm_{'num_leaves': 85, 'colsample_bytree': 0.41629640129166967, 'subsample': 0.8853231433661228, 'subsample_freq': 10, 'learning_rate': 0.09039782682607396, 'n_estimators': 100, 'class_weight': 'balanced', 'reg_alpha': 2.1869673880667033, 'reg_lambda': 4.824525031559716}",14400,240,0
5,40981,australian,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:36,datasets\australian\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\56929e9b-565d-4ca4-84ca-3c4e077cdf5a.json,datasets\australian\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\56929e9b-565d-4ca4-84ca-3c4e077cdf5a.json,-0.87,-0.938,-0.87,0.314,-0.869,0.0284924656152725,10185.8847505562,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.4960994608127615, 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 100}",14400,240,0
6,1461,bank-marketing,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:36,datasets\bank-marketing\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\430b4c83-50f2-4277-89e6-e0bbb7109caa.json,datasets\bank-marketing\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\430b4c83-50f2-4277-89e6-e0bbb7109caa.json,-0.907,-0.936,-0.907,0.195,-0.793,0.250274172052741,14504.855672029778,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.1985784579736331, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",14400,240,0
7,1464,blood-transfusion-service-center,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:38,datasets\blood-transfusion-service-center\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\5f1fdf55-8504-47ae-82c3-9e055d86588f.json,datasets\blood-transfusion-service-center\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\5f1fdf55-8504-47ae-82c3-9e055d86588f.json,-0.733,-0.759,-0.733,0.479,-0.551,0.0164021248929202,6599.849379697116,classification,"(((((/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.39253168820410606};;(/n_normalization;)/n_scaling;;/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8220248079241079};)/n_pca_{'svd_solver': 'full', 'n_components': 0.5841632488196055};)/n_qda;;(((/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.39253168820410606};;(/n_normalization;)/n_scaling;;/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8220248079241079};)/n_pca_{'svd_solver': 'full', 'n_components': 0.5841632488196055};;((/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.39253168820410606};;(/n_normalization;)/n_scaling;;/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.8220248079241079};;/n_normalization;)/n_logit_{'C': 4.4613069380729495}",14400,240,0
8,991,car,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:38,datasets\car\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\e33bb9e6-f49f-4e5b-a7d8-a417089edea9.json,datasets\car\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\e33bb9e6-f49f-4e5b-a7d8-a417089edea9.json,-0.988,-1.0,-0.988,0.018,-0.958,0.1761821499094367,14416.753451433033,classification,"((((/n_normalization;;/n_pca_{'svd_solver': 'full', 'n_components': 0.23602366914290243};)/n_scaling;;/n_pca_{'svd_solver': 'full', 'n_components': 0.18258816874310488};;/n_pca_{'svd_solver': 'full', 'n_components': 0.775172714199411};)/n_knn_{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'};;((/n_pca_{'svd_solver': 'full', 'n_components': 0.23602366914290243};)/n_qda;)/n_logit_{'C': 7.306809817234036};;(/n_normalization;;/n_pca_{'svd_solver': 'full', 'n_components': 0.23602366914290243};)/n_scaling;)/n_scaling;;((/n_normalization;)/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.6285863798502828, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100};;((/n_normalization;;/n_pca_{'svd_solver': 'full', 'n_components': 0.23602366914290243};)/n_scaling;;/n_pca_{'svd_solver': 'full', 'n_components': 0.18258816874310488};;/n_pca_{'svd_solver': 'full', 'n_components': 0.775172714199411};)/n_knn_{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'};;(/n_normalization;)/n_normalization;)/n_logit_{'C': 8.194681412982234}",14400,240,0
9,41142,christine,FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1,2022-11-11 11:49:38,datasets\christine\models\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\c70766b7-2f10-4f8d-ac9e-516160b74b70.json,datasets\christine\histories\FEDOT_SensitivityAnalysisPostprocessingOptimizerVer1\c70766b7-2f10-4f8d-ac9e-516160b74b70.json,-0.721,-0.828,-0.721,0.52,-0.722,1.61987336515449,15487.605660161937,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.13846542603662196, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",14400,240,0
