,task_id,pipeline_id,y
0,576,0,1.0
1,588,1,1.0
2,604,2,1.0
3,17,0,1.0
4,17,3,1.0
5,17,4,1.0
6,242,5,1.0
7,588,2,1.0
8,584,6,1.0
9,588,7,1.0
10,85,0,1.0
11,576,2,1.0
12,588,8,1.0
13,588,9,1.0
14,8,1,1.0
15,604,10,1.0
16,567,2,1.0
17,576,10,1.0
18,567,10,1.0
19,137,4,1.0
20,289,5,1.0
21,604,9,1.0
22,289,11,1.0
23,85,12,1.0
24,439,11,1.0
25,17,13,1.0
26,357,5,1.0
27,17,12,1.0
28,368,14,1.0
29,37,3,1.0
30,511,15,1.0
31,567,15,1.0
32,576,15,1.0
33,8,3,1.0
34,368,11,1.0
35,588,15,1.0
36,118,12,1.0
37,333,5,1.0
38,604,12,1.0
39,604,15,1.0
40,85,16,1.0
41,118,0,1.0
42,118,10,1.0
43,37,17,1.0
44,8,18,1.0
45,588,19,1.0
46,449,4,1.0
47,17,17,1.0
48,118,20,1.0
49,37,2,1.0
50,86,20,1.0
51,85,20,1.0
52,115,11,1.0
53,576,21,1.0
54,85,17,1.0
55,85,11,1.0
56,17,2,1.0
57,86,17,1.0
58,85,22,1.0
59,588,16,1.0
60,567,9,1.0
61,85,2,1.0
62,17,23,1.0
63,8,10,1.0
64,86,10,1.0
65,85,10,1.0
66,17,22,1.0
67,37,10,1.0
68,17,10,1.0
69,576,9,1.0
70,289,4,1.0
71,567,0,1.0
72,37,22,1.0
73,86,2,1.0
74,289,6,1.0
75,576,24,1.0
76,368,4,1.0
77,17,25,1.0
78,576,20,1.0
79,37,26,1.0
80,567,20,1.0
81,367,5,1.0
82,368,5,1.0
83,449,14,1.0
84,511,27,1.0
85,567,17,1.0
86,357,6,1.0
87,449,27,1.0
88,469,27,1.0
89,367,6,1.0
90,85,23,1.0
91,37,28,1.0
92,576,29,1.0
93,17,28,1.0
94,17,30,1.0
95,17,31,1.0
96,17,32,1.0
97,368,6,1.0
98,449,6,1.0
99,86,3,1.0
100,588,33,1.0
101,511,5,1.0
102,86,34,1.0
103,86,23,1.0
104,118,23,1.0
105,187,6,1.0
106,604,14,1.0
107,584,5,1.0
108,604,23,1.0
109,576,11,1.0
110,85,35,1.0
111,115,27,1.0
112,368,27,1.0
113,544,5,1.0
114,576,17,1.0
115,85,36,1.0
116,588,37,1.0
117,576,14,1.0
118,588,38,1.0
119,242,6,1.0
120,85,3,1.0
121,560,27,1.0
122,37,39,1.0
123,469,11,1.0
124,37,37,1.0
125,576,32,1.0
126,511,1,1.0
127,85,40,1.0
128,86,40,1.0
129,118,40,1.0
130,17,16,1.0
131,115,15,1.0
132,368,15,1.0
133,368,1,1.0
134,367,1,1.0
135,386,5,1.0
136,439,15,1.0
137,449,15,1.0
138,379,5,1.0
139,576,41,1.0
140,86,15,1.0
141,567,27,1.0
142,37,1,1.0
143,511,11,1.0
144,576,27,1.0
145,604,27,1.0
146,8,15,1.0
147,37,42,1.0
148,588,43,1.0
149,17,44,1.0
150,604,3,1.0
151,85,15,1.0
152,17,15,1.0
153,511,14,1.0
154,588,3,1.0
155,37,15,1.0
156,584,1,1.0
157,17,40,1.0
158,449,5,1.0
159,17,20,1.0
160,588,45,1.0
161,85,46,1.0
162,86,25,1.0
163,17,47,1.0
164,37,48,1.0
165,17,49,1.0
166,37,50,1.0
167,446,6,1.0
168,17,9,1.0
169,576,49,1.0
170,567,49,1.0
171,85,9,1.0
172,86,9,1.0
173,85,25,1.0
174,567,51,1.0
175,118,52,1.0
176,118,49,1.0
177,576,36,1.0
178,8,48,1.0
179,576,51,1.0
180,85,5,1.0
181,446,5,1.0
182,567,36,1.0
183,567,25,1.0
184,17,51,1.0
185,8,53,1.0
186,118,51,1.0
187,8,9,1.0
188,567,46,1.0
189,604,47,1.0
190,576,47,1.0
191,37,54,1.0
192,85,51,1.0
193,588,48,1.0
194,37,9,1.0
195,567,54,1.0
196,604,22,1.0
197,37,55,1.0
198,17,56,1.0
199,86,47,1.0
200,85,47,1.0
201,511,6,1.0
202,567,6,1.0
203,588,42,1.0
204,8,8,1.0
205,567,4,1.0
206,576,5,1.0
207,576,25,1.0
208,567,57,1.0
209,118,58,1.0
210,8,19,1.0
211,17,58,1.0
212,576,57,1.0
213,17,14,1.0
214,511,4,1.0
215,446,59,1.0
216,588,60,1.0
217,588,61,1.0
218,118,22,1.0
219,17,38,1.0
220,588,62,1.0
221,37,19,1.0
222,379,6,1.0
223,86,36,1.0
224,17,36,1.0
225,37,63,1.0
226,37,64,1.0
227,567,5,1.0
228,8,64,1.0
229,17,46,1.0
230,118,57,1.0
231,17,57,1.0
232,37,38,1.0
233,604,51,0.9999995745593286
234,604,13,0.999999287061946
235,446,3,0.9999984143419596
236,446,2,0.999998238157733
237,567,16,0.999998
238,604,40,0.9999969328897786
239,576,46,0.999996
240,562,2,0.9999956115575758
241,562,42,0.9999947764684416
242,562,17,0.9999936112514196
