,task_id,pipeline_id,y
0,0,0,0.936
1,0,1,0.938
2,0,2,0.939
3,0,3,0.935
4,1,4,0.945
5,1,5,0.934
6,1,6,0.947
7,1,7,0.932
8,1,8,0.936
9,1,9,0.942
10,1,10,0.932
11,2,11,0.816
12,2,12,0.823
13,2,13,0.826
14,2,14,0.816
15,2,15,0.823
16,2,16,0.819
17,3,17,0.52
18,3,18,0.517
19,4,19,0.877
20,4,20,0.882
21,4,21,0.872
22,4,22,0.886
23,4,23,0.863
24,4,24,0.877
25,4,25,0.867
26,5,26,0.87
27,5,27,0.87
28,5,28,0.87
29,5,29,0.855
30,5,30,0.884
31,7,31,0.75
32,7,32,0.82
33,7,33,0.82
34,7,34,0.81
35,7,35,0.76
36,7,36,0.8
37,7,37,0.81
38,8,38,0.994
39,8,39,0.994
40,9,40,0.948
41,9,41,0.939
42,9,42,0.947
43,10,43,0.994
44,10,44,0.994
45,10,45,0.994
46,10,46,0.991
47,10,47,0.991
48,11,48,0.97
49,11,49,0.972
50,12,50,0.715
51,12,51,0.717
52,12,52,0.706
53,12,53,0.718
54,12,54,0.703
55,12,55,0.401
56,13,56,0.98
57,13,57,0.97
58,13,58,0.97
59,13,59,0.975
60,13,60,0.97
61,13,61,0.965
62,13,62,0.975
63,15,63,1.0
64,15,64,1.0
65,15,65,1.0
66,15,66,1.0
67,15,67,1.0
68,15,68,1.0
69,15,69,1.0
70,16,70,0.983
71,16,71,0.983
72,16,72,0.979
73,16,73,0.974
74,16,74,0.97
75,16,75,0.974
76,17,76,0.97
77,17,77,0.973
78,17,78,0.973
79,18,79,0.775
80,18,80,0.843
81,19,81,0.667
82,19,82,0.668
83,20,83,0.673
84,20,84,0.671
85,21,85,0.972
86,21,86,0.944
87,21,87,0.954
88,21,88,0.937
89,21,89,0.945
90,21,90,0.963
91,22,91,0.682
92,22,92,0.724
93,22,93,0.664
94,22,94,0.678
95,22,95,0.442
96,23,96,0.962
97,23,97,0.937
98,23,98,0.973
99,23,99,0.971
100,24,100,0.74
101,24,101,0.76
102,25,102,0.998
103,25,103,0.981
104,25,104,0.941
105,25,105,0.95
106,26,106,0.331
107,26,107,0.35
108,26,108,0.311
109,27,109,0.905
110,27,110,0.911
111,27,111,0.907
112,28,112,0.874
113,28,113,0.863
114,29,114,0.76
115,29,115,0.747
116,29,116,0.733
117,29,117,0.733
118,30,118,0.982
119,30,119,0.982
120,31,120,0.994
121,31,121,0.988
122,31,122,0.989
123,31,123,1.0
124,32,124,0.908
125,32,125,0.911
126,32,126,0.919
127,32,127,0.926
128,33,128,0.909
129,33,129,0.906
130,33,130,0.914
131,33,131,0.97
132,33,132,0.909
133,34,133,0.666
134,34,134,0.682
135,34,135,0.639
136,34,136,0.674
137,35,137,0.895
138,35,138,0.881
139,35,139,0.845
140,35,140,0.856
141,36,141,1.0
142,36,142,1.0
143,37,143,0.879
144,38,144,0.812
145,39,145,0.496
146,39,146,0.464
147,40,147,0.882
148,40,148,0.886
149,41,149,0.846
150,41,150,0.852
151,42,151,0.904
