,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
M4_D1002,6.303611407357164,73.35584644216881,129.0,-0.00012684091849200218,0.9860186212366009,29.61909584097208,4078.574171079447,0.004694835680751174,0.8106371989332721,10.056637715113201,1242.0136353152898,8.2890625,12.236027764577003,45.307652797189405,1.0480162337708072,0.5456737276015595,1.4660020315784048,0.48192405574302394,0.60024217698612,4.74341930940995,1.1835910858899001,63.687315411583825,781.4381973112887,-460.5754380040011,-37.489446502738055,-14.02813854786272,15.590957293109357,38.607455593819054,4.2350325564107605,34.087992019493164,64.0,-0.0003257953238265459,0.9153434986811073,54.75487612959361,16000.81658126268,0.004694835680751174,0.9532328182112679,10.056637715113201,1771.0695836383406,16.77777777777778,8.777645687955602,125.524554861469,3.7274964847622285,0.28678989916082875,1.4179923878877367,0.5483718860042721,0.638455149142261,13.820321717889543,5.422046748334878,125.73708796085867,1110.3224470221394,-660.7471366162013,-76.93282915721116,-24.0033165670704,30.751559562523216,75.40508758116175,1.969022533982766,5.452136839049179,38.0,0.01771674423504591,0.9875480757051374,279.39059462505065,435145.142043097,0.005633802816901409,0.9979614643767429,10.056637715113201,4143.490318506805,27.675675675675677,4.148627730340147,1069.4791571325204,5.400735342181635,0.061923922393517655,3.426284973637787,0.7175933262847415,0.669958624419483,161.8860398967746,28.488331736962284,639.4826441191636,2736.664355656028,-1406.825962850777,-407.03543329150847,-97.38842102929165,182.002173595759,1669.49049048867,18.215322875976565,21.287943363189697,26.0015869140625,35.4538516998291,55.77229995727539,0.4593475341796876,1.1653995513916016,2.744068145751953,4.985105514526367,8.171954345703128,0.20038135880120062,0.4289624255058726,293.0,0.017018281506954207,0.8440656283581327,121.86999999999989,1347265.5849447886,0.04131455399061033,0.9783941203651954,10.025881952200372,639.7199999999999,3.6232876712328768,1.265268890799817,1115.2813237579155,1162.8484166666667,0.021288867669539264,68.29234353520789,0.9364054957944071,0.561015698005304,1154.6199248826292,1149.38,118.8209325364039,1468.62,828.9,945.25,1087.73,1209.6,1392.954,12.524399280548096
M4_D1019,11.502181274576197,227.35720702436026,502.0,2.6251238939620673e-05,0.967654268185108,42.11618253235595,3409.9676403881367,0.0007338551859099804,0.8164627503171163,11.997179480937621,1565.5191086625541,8.151696606786427,23.040792873965824,21.0669691273017,0.3865357770252314,0.5467103628068262,1.4513777504247014,0.4456445358725306,0.5810067923951332,2.107681127482035,0.22196602872934085,58.35687894886938,1345.4654457248446,-220.05366293770956,-58.22212724985238,-20.776913021988392,21.339269510367554,57.28709415566408,8.25028241898523,116.3513635190413,262.0,6.419598278371348e-05,0.9967277207263809,79.88224112119183,13233.778584487012,0.0009784735812133072,0.9537660240832252,11.997179480937621,2231.2229492092174,15.632183908045977,16.367648185542564,59.7381428167307,1.7220016938866385,0.2858949818879129,1.439700982608396,0.48115435350304225,0.6085984990059028,6.060092790377741,1.7796656192826106,114.87843078602278,1882.9041541475444,-348.318795061673,-115.86394231910697,-38.04412212191518,41.838118999276645,114.10801357018761,3.971319993713452,23.973155300809488,142.0,-0.00023208991970080913,0.9548140590712652,416.4501862094393,320064.03307562676,0.0009784735812133072,0.9979628042579273,11.997179480937621,5539.991984427561,28.70212765957447,7.975408726161206,611.3882403777172,-7.034851087196399,0.0613926857914532,3.6460464746256043,0.5590733188748543,0.637043241521089,69.17278602989585,-1.8162253258811494,561.4972473204913,4512.023842231951,-1027.9681421956107,-541.1068534245189,-184.84417986893658,231.60600634050274,634.3464558802929,21.16631164550781,25.570629119873047,31.83134937286377,46.11418342590332,62.69711799621583,0.5297931671142578,1.4816436767578125,3.450275421142578,6.587821960449219,10.434463691711427,0.004953065196447451,-0.6343603329403131,1087.0,-0.1707581211781192,0.9363159238588653,658.0949999999998,3314252.911093787,0.010273972602739725,0.9985538514946696,11.96030206227271,2095.67,3.7605893186003683,1.5264302704747224,1845.5930509516782,1745.525631621842,0.013821576767935335,106.489800624142,1.032146715669461,0.5513647085581562,1759.3644814090019,1694.5900000000001,467.8563162448705,2778.88,683.21,957.21,1474.775,2132.87,2543.5854999999992,16.361498641967774
M4_D1032,3.2089741772934364,37.01553718785306,296.0,0.00019245039152459214,0.9686542685593786,55.35446148080136,3565.5632475235384,0.0020383204239706482,0.8300775760575544,11.260331518557605,1093.2895552138534,8.301694915254238,12.952955040084486,20.205181671720446,1.5267586668037345,0.5622143621201403,1.3467041144306158,0.34137474879194624,0.5879605787845009,1.9992110764099005,1.485561446598229,59.67886060068086,773.4512227382806,-319.8383324755729,-77.17344922586003,-27.35111065792413,28.003350822877227,80.16408199685188,2.2219192801720045,18.55367668127276,155.0,0.0007972909044930098,0.9884636185884801,103.77036676587178,13443.550828392625,0.0036689767631471666,0.9518549519169136,11.260331518557605,1577.2458535694263,15.876623376623376,9.85685418074031,56.72156282308958,2.8891952228875977,0.303373740512172,1.3522092174526,0.3701200657934776,0.617969793941891,5.691010123421858,4.672367970473431,115.80657680877944,1142.8660415850159,-434.3798119844105,-154.7227830245465,-50.998963753479785,52.771403012392,166.65059671645577,0.656385746593738,1.6473349188955457,53.0,0.010019733589755732,0.9780699745223337,643.515485856065,373835.58054351667,0.015491235222176927,0.9977713355654477,11.260331518557605,3922.2374489622052,46.34615384615385,3.8296850457391343,558.6688682470847,0.5606229735178151,0.06625660750987802,2.762208645620651,0.5307688537811996,0.6748129656976422,70.2018764329713,47.08496415134975,607.3773761746535,2341.549676522635,-1580.6877724395706,-893.6073887562312,-296.9505658142344,346.5649200418306,1190.3933977609686,28.3474479675293,34.90720748901367,46.34834671020508,66.96808624267578,96.33025360107422,0.7990493774414062,2.049044609069824,4.985218048095703,9.352718353271484,15.743267059326172,0.833415441945351,-0.20517211755639098,610.0,0.2733335258238035,0.9288744256129683,583.6300000000001,2725959.024797839,0.013045250713412148,0.997800792924949,11.231795032622014,1904.5099999999998,4.016420361247947,1.6968860041174214,1341.822501957973,1636.6169262109552,0.018165855683099842,78.43643631027412,0.9711322941937722,0.5576397694421755,1587.9254586220954,1466.66,452.16342472345923,2801.64,897.13,1037.052,1254.07,1837.7,2541.9,19.648469352722167
M4_D1091,6.866563519493235,114.57067930722143,380.0,-0.001100694489233666,0.9920005262667334,49.5575196868876,5624.8967827328615,0.000974342318934719,0.820694880642415,11.588246152044817,1961.4422157115373,8.113456464379947,20.213758728271728,20.936187734317528,0.7781930552927743,0.5682611138252629,1.3573414862386728,0.3852889521713551,0.5841138904336889,2.6750450446770317,0.7661684882441748,74.95159048840664,1516.0179951636737,-445.4242205478637,-80.91352506233918,-24.221987131341347,25.33553255554626,84.47362029119553,5.201625618035579,61.800010186002304,191.0,-0.003266946404382678,0.992183447035729,102.61768290119352,23823.218229776707,0.0012991230919129587,0.9526571621965606,11.588246152044817,2917.2827454871585,16.16315789473684,14.769247052558603,59.35610170349766,-0.7708132601114102,0.2989662010515522,1.308823766408211,0.4095851326488651,0.6147806107918343,7.737898009467433,-0.3354903672057503,154.15363493661698,2279.599587655417,-637.6831578317415,-171.0320699492845,-50.81244170507176,51.805241196121756,181.18929555865557,2.185538075162732,10.778117512091782,97.0,-0.03574321410568373,0.9626271033727773,540.9599015611705,448177.6448725924,0.0025982461838259174,0.9979716130262681,11.588246152044817,6145.651081259514,31.666666666666668,6.653458925832763,590.3313015603502,0.03753171449653347,0.06279287767584535,3.5853406514672,0.5922896382285645,0.6482085311213177,85.29167428305136,3.8894756615852093,664.005252366716,4454.229349557181,-1691.4217317023329,-829.9245986218044,-217.34412690768343,323.61577465348705,1059.413428005254,22.566151428222657,29.34541654586792,41.390872955322266,70.62305641174316,115.02066955566407,0.6983909606933594,1.910675048828125,4.543876647949219,8.876808166503906,15.810012817382812,0.9963744635567102,-0.22285359117418713,772.0,-0.7099723932396363,0.9574712106662612,1000.315,4025646.868550958,0.005846053913608314,0.9989210937032265,11.55397860576215,3040.57,3.9844357976653697,1.965065344192486,1254.4224318007225,1844.2452758745044,0.017489132193742776,81.9066489200807,0.9943803192585912,0.5555449250664591,1839.4044170185125,1455.92,801.3976910396887,3942.71,902.14,995.917,1257.98,2258.295,3514.558,14.312581253051759
M4_D1101,1.7802316282036954,70.62134342453966,512.0,0.00016726344695958242,0.994785111750661,190.33976576411544,62847.04521719833,0.19026128266033254,0.8210696347151498,12.03960451795376,7850.126954005926,8.230919765166341,15.66032983358958,52.69421528310096,9.725604819990725,0.5810760011293756,1.316052442783821,0.28964575178010715,0.5810679338033686,5.214121739522498,7.912504706643472,250.63889991715925,3924.189857812551,-3925.937096193374,-309.6877705373056,-89.4921388443441,100.84762691977133,295.5960455095653,1.8134979873452455,39.33778293248284,271.0,0.0005172962356854084,0.9875428661487833,371.25492518560077,242635.3672467464,0.09572446555819478,0.9514529619051142,12.03960451795376,10975.782826160448,15.562962962962963,11.270356012213664,152.55349613919222,4.152542517109935,0.3058101849544316,1.309606958616955,0.3343758837701257,0.6079437698130657,15.264766304976158,3.115460280529703,492.3437357745104,5551.555520621481,-5424.227305538967,-587.1061265967012,-171.5064390748264,199.7484861107744,583.9448206883386,0.8630012697812705,6.865146819308096,138.0,-0.0004577262558012067,0.9891996649309672,2091.3960665717123,5120318.881988947,0.01828978622327791,0.9979568166505941,12.03960451795376,22205.5808314706,30.445255474452555,4.984445907762101,1472.3191203702736,73.9015421408043,0.06289368619795466,3.606177806911928,0.47151686854649627,0.6392477162224734,168.87830818930252,58.026390316234426,2256.501495459745,11278.864822560494,-10926.716008910107,-2949.758181143996,-950.7112857606405,1140.684780811072,3049.5710779108094,85.46974563598633,110.85910034179688,162.22354888916016,231.9515380859375,344.3975372314453,2.568988037109375,6.987369537353516,16.141952514648438,30.871566772460938,51.14185791015625,0.596236031918243,-0.9300830377569942,1060.0,0.7184395962472436,0.07620465308323515,4417.375000000001,55949194.55574346,0.00665083135391924,0.9984673780654817,11.95878155773844,10089.5,3.9650613786591125,1.7201522201698547,4947.830654694045,7298.070527704484,0.018347590662917204,77.35215366833432,1.045098592998779,0.5531599546872471,7057.339334916865,6133.25,2478.53909946538,12866.6,2777.1,4243.8949999999995,4957.7,9375.075,11658.41,59.63069534301758
M4_D1104,16.149855149518302,374.2077050288554,525.0,0.0024597724091855516,0.9887576353007839,196.75084407042564,108357.78854433216,0.0007125890736342043,0.8204517478074954,12.03960451795376,10268.437198780617,8.026717557251908,28.89169599792451,144.56047830457652,4.685377724927888,0.5026954853032948,1.6136115847949173,0.4737832530977425,0.5800567055097027,12.860436058297264,5.5143688034118234,328.926128072433,9510.494593410178,-757.9426053704387,-269.0872027310146,-94.84542510642233,101.90541896400332,268.10852706788415,11.869738449230303,196.5984328210333,274.0,0.006943449822648486,0.9756563445140535,379.3148926820874,436461.4721309255,0.0009501187648456057,0.9528678334679019,12.03960451795376,15361.504528585396,15.391941391941392,20.72770685503157,411.0064416906211,6.572404546881614,0.27706369286189647,1.5160382772963013,0.5153758553031681,0.607457914036191,37.047832921681405,9.673147057326162,659.612712284059,13693.80737434682,-1667.6971542385768,-528.5931629337147,-180.4825787840433,198.8323138980441,515.5758763549965,4.995667419937606,33.68996432624676,125.0,0.07409958868776097,0.9897047380512894,2050.008689012723,10523107.393026166,0.0009501187648456057,0.998061656471583,12.03960451795376,32677.44199589113,33.62096774193548,8.718646392646935,4234.850666446559,50.1915338472482,0.06124632132538528,3.53655615971478,0.5965629879832954,0.6441015352248677,418.729365666791,95.3980549903477,3216.795472415748,28282.712925074604,-4394.7290708165265,-2630.9163161129013,-942.5503451579686,1107.4583438547547,2922.8077284962806,91.13931732177734,118.63420104980469,154.98392486572266,212.92279052734375,285.0263763427736,2.473028564453125,6.653587341308594,15.55010986328125,30.305763244628906,47.834259033203125,0.5668379438067572,-0.15921632084265358,1081.0,1.2774229666697452,-0.19051477367585992,3215.2,68508791.9745582,0.011876484560570071,0.9984966051709424,11.97605371628591,10594.2,3.887962962962963,1.701908121978971,12222.95272847068,7706.409577836412,0.012726657777609595,112.65806939822065,0.9582823097458526,0.5524404135432294,8006.665249406176,7840.7,2098.119052511019,14086.7,3492.5,5243.995,6254.3,9469.5,12355.919999999998,65.43936157226562
M4_D1124,7.614228209554245,164.07775724312032,529.0,0.0003349180866351784,0.9918568394095495,212.7133221432993,104379.56918268844,0.0011876484560570072,0.8167910821408135,12.03960451795376,11256.795195360535,7.965909090909091,20.96175010525696,99.33140816463822,1.2036667988186405,0.5562080054650568,1.4002740769306643,0.4508891057960816,0.5797512778866578,9.861066487076055,0.3637538646373897,322.92774509234397,6772.285980827078,-4484.509214533457,-295.5217925237566,-103.65914254468976,109.05417959860957,302.9927605364023,5.79619272645763,87.15171804528852,278.0,0.0006237686157051839,0.9763173141649278,401.385702842956,397538.06706013344,0.0011876484560570072,0.951904123102948,12.03960451795376,15629.557722199559,15.169675090252708,14.966862372637255,276.5990162096382,-1.8169017058716517,0.29344127691206057,1.3999835192165122,0.48330375506517015,0.606819477185642,28.204261050891027,-1.259113992847972,629.8750564347716,9436.699506509267,-6192.858215690292,-571.4306353524419,-186.0553616089381,215.33034123401785,583.1342300887179,2.5645440318223165,14.286021779053769,134.0,0.004643240396497691,0.9846445527835147,2189.2369659942606,8924493.430686383,0.0019002375296912114,0.9981604682069964,12.03960451795376,31852.942508848915,31.353383458646615,6.855711005433263,2590.7272961988874,-81.96354724896366,0.05990538979133558,3.9159887902241097,0.5783348570322304,0.6406833330925026,312.4587245113619,-3.1977425793514307,2971.003698443191,20480.67609617421,-11372.266412674702,-3030.71932667622,-1033.9892341157954,1155.247731878465,3624.8862533070896,99.14849700927735,125.26741790771484,168.63746643066406,235.9231719970703,325.6093353271485,2.82679443359375,7.551483154296875,17.118865966796875,32.40965270996094,52.6198501586914,0.9186952133424271,-0.23287135498047773,1094.0,1.807333241186426,0.2984931257685159,3972.925,97847534.01909027,0.003800475059382423,0.9987410588357893,11.976063003700949,13911.2,3.8472095150960657,1.8392725393031066,11113.782023567537,9563.11654353562,0.014957670522551767,95.84723172920378,0.9729158180195346,0.5519694719203354,9441.154513064133,8482.7,2951.632680321014,18193.7,4282.5,6313.56,7106.150000000001,11079.075,15174.019999999995,72.71155548095703
M4_D1162,3.884166749635617,65.3971657444496,511.0,3.837357281350215e-07,0.9953423958932051,41.7354294163873,3528.727783262835,0.003563791874554526,0.8171279267945226,12.039261794341055,1580.6584107628132,8.245098039215685,16.565468205746377,14.389850355797371,1.3495458693172402,0.5741643713656165,1.3394065577163319,0.4182768142383606,0.5811399984083198,1.4437693774561147,0.6756306077219095,59.38554801673177,984.0400937714221,-596.6183169913911,-73.88798263573342,-19.903097673953337,21.83233174243396,72.57241022753314,2.916359454419587,34.36869791452108,261.0,-2.108146735033578e-05,0.9873237284324781,83.1337046557428,12955.43271813619,0.008790686623901164,0.9505117928770463,12.039261794341055,2186.9016960053004,16.157692307692308,11.716876065525248,40.584380370414536,-0.42067863556248736,0.30503013651998406,1.3292471851325856,0.44446377296660455,0.6096020302418722,4.119847227805108,0.9619325161499432,113.74734975794266,1333.6374972343929,-853.2641987709076,-139.32180710808638,-41.65511169260722,41.47859296313558,145.13772605683005,0.9118730864458051,6.337593378293057,137.0,-0.00011203870634082531,0.9695060299709927,430.29385947030323,349254.6492008618,0.01092896174863388,0.9982285163467054,12.039261794341055,5649.976236137416,30.654411764705884,5.295850454788993,430.55939580621816,5.87325798850778,0.058692491679357424,3.621214644860673,0.48129562532427794,0.639595541580419,46.26495399419597,15.806311503740028,589.1639867072466,3129.72955403942,-2520.246682097996,-783.1503515471748,-208.57748606381838,221.71637340648485,1037.3356840819076,18.221899795532227,22.803263664245605,30.60491943359375,59.06521701812744,100.52355346679688,0.5660640716552735,1.5366106033325195,3.5756874084472656,7.050498008728027,12.995511627197265,1.5854718887086054,2.1328054283445392,1029.0,0.0007319229768798383,0.7975188951788542,469.37,1838753.9943863389,0.003801377999524828,0.9982523920034289,12.00225194936343,2571.3100000000004,4.086575875486381,2.334464978343291,1052.2375877373418,1273.535754617414,0.022077307950517953,63.56974415702861,0.943090490974605,0.5542452017888708,1257.9097719173199,1116.2,506.37634235937077,3165.55,594.24,721.694,936.33,1405.7,2503.35,12.430986595153808
M4_D1170,6.912254485771022,108.12534201809892,390.0,0.0001467869231504075,0.9955187944965673,37.82464840278669,2677.085609301372,0.0009354536950420954,0.8165442473807812,11.647008638441646,1172.9782323350512,8.233933161953727,18.838871435017737,19.09336232560303,0.7862181362500428,0.5573068497781134,1.4114377689998896,0.3434449191063941,0.5842438902271476,1.8454007568313395,0.7387812900699433,51.707640686344014,974.7337687730827,-198.24446356196847,-60.587129363392194,-18.034204697769162,19.790443705017534,58.91283733325964,5.889201445596244,67.62965913368174,204.0,0.00033568792676315194,0.992388207605318,70.64935623289364,9838.715026359288,0.0009354536950420954,0.9502503151947079,11.647008638441646,1687.7071969671167,15.758620689655173,13.95788882106352,53.55452876950957,0.7022338557502086,0.29662973187137187,1.3867036889279987,0.39348898028041407,0.6129101250833338,5.28455699765705,2.2447275971118046,99.04942444909915,1384.4871381757075,-303.22005879140914,-114.1922630116302,-35.950057016416125,34.69929921647752,115.23324428161189,1.6760708350128177,9.0642518982037,95.0,0.0036041004166809036,0.992546118036491,333.52765989950524,263729.8856164359,0.006236357966947303,0.9982345227141022,11.647008638441646,4743.809075797402,33.712765957446805,5.599359617555957,523.1024917265545,16.23722119662897,0.05868181965911328,3.6764822890076725,0.5753803181083162,0.6504426327736395,57.31278330938706,26.671109969034354,510.3382510509742,2875.530868485103,-1868.278207312299,-626.0513394005242,-156.7222139099216,176.80544598958363,817.9289104715225,17.297779083251953,21.349510192871094,28.726112365722656,50.072357177734375,78.0455322265625,0.4678388595581055,1.2572593688964844,3.0078506469726562,6.0382080078125,9.909154510498052,1.3075364766123263,1.0005295647819885,782.0,-0.21511474414586954,0.6642484810864551,376.8749999999999,1431508.6318545993,0.0018709073900841909,0.998234527030683,11.599141543024022,1850.34,4.093469910371319,2.0664099274921854,1150.8661409302572,1124.0546918282548,0.019458066306611392,73.19641379998811,0.9918973465390554,0.5564225759821525,1130.1648238228875,1023.58,392.7290450781316,2472.37,622.03,700.495,849.64,1226.5149999999999,2010.0669999999998,12.155946350097656
M4_D1204,17.7520053459532,512.4338276703646,517.0,0.009204522372158382,0.9983704496763219,170.8402137728581,101373.9152799543,0.00023752969121140142,0.8239566068415896,12.03960451795376,11697.204671916626,8.151162790697674,33.40841316048972,162.44514792302638,5.9619781887381915,0.46476627136266746,1.7666295313346168,0.2805074044229163,0.5806755796977779,9.916654056775002,5.742095063672253,318.2382366282727,10636.995071745161,-1060.2096001714656,-293.9824628829891,-81.6829023227735,89.1573114500846,298.7373947387303,13.414781604456936,277.8331699564673,262.0,0.026530635885076845,0.9963721635231428,355.15928960480073,397264.4804596148,0.00047505938242280285,0.9537275537648239,12.03960451795376,16707.85602687422,16.09961685823755,24.073436069228016,462.7854769584261,-0.5529365776914178,0.2662408264178821,1.6443197417517825,0.3083853173755507,0.6094390474953294,28.49315593081443,5.137492903465102,629.6448368125614,15173.226853429871,-1534.6291734443462,-559.3711058442974,-174.85046212748944,180.30882747731127,583.780383756108,5.9603605413170655,55.00569245833782,117.0,0.2872973437591956,0.9984656445249831,1919.6305136849992,9982805.040134376,0.00047505938242280285,0.9979271765131166,12.03960451795376,40896.0731218385,35.939655172413794,10.937633781714007,4680.968192431807,41.444265386982146,0.06011472291112736,3.353057210071672,0.4196196261278702,0.6473859444808889,315.0529270380565,47.44321577291709,3143.8108552040985,34558.085347227345,-6337.98777461115,-3020.916044526593,-845.7968483232446,1073.8336653617546,3314.7597610596454,68.38579177856445,96.91815948486328,151.55670166015625,224.94143676757812,371.21916809082046,2.2800277709960945,6.2339935302734375,14.926864624023438,30.23171043395996,52.164193725585946,-0.05098927209927936,-1.3688894463186978,954.0,2.682825974610993,0.8930192582638796,6727.65,73011916.12248455,0.0059382422802850355,0.9983843536147078,11.998390794674823,12348.7,4.414480587618049,1.6949100859662498,12948.409795006944,7796.74036939314,0.011341996358017727,114.66389863203393,1.038391520961108,0.5570180817499942,7813.158004750594,7917.7,3459.2597640660465,14482.5,2133.8,2801.06,4194.5,10922.15,12948.429999999998,52.21455764770508
